year,department,population
1751,Chinandega,6003
1751,León,12864
1751,Nueva Segovia,7945
1751,Granada,22720
1751,Chontales,3342
1751,Matagalpa,7159
1751,Rivas,6974
1751,Nicoya,1100
1778,Chinandega,9188
1778,León,18527
1778,Nueva Segovia,12548
1778,Granada,34080
1778,Chontales,6540
1778,Matagalpa,13460
1778,Rivas,9450
1778,Nicoya,2983
1815,Chinandega,11289
1815,León,40693
1815,Nueva Segovia,11583
1815,Granada,50587
1815,Chontales,5805
1815,Matagalpa,23401
1815,Rivas,14914
1815,Nicoya,3998
1846,Chinandega,29700
1846,León,60300
1846,Nueva Segovia,12000
1846,Granada,85000
1846,Chontales,10000
1846,Matagalpa,40000
1846,Rivas,20000
1846,Nicoya,
1854,Chinandega,33264
1854,León,65293
1854,Nueva Segovia,13254
1854,Granada,90227
1854,Chontales,10500
1854,Matagalpa,50667
1854,Rivas,22976
1854,Nicoya,
1857,Chinandega,29014
1857,León,57293
1857,Nueva Segovia,12603
1857,Granada,79427
1857,Chontales,15700
1857,Matagalpa,48167
1857,Rivas,19976
1857,Nicoya,
1866,Chinandega,31732
1866,León,62660
1866,Nueva Segovia,21292
1866,Granada,92849
1866,Chontales,19607
1866,Matagalpa,61172
1866,Rivas,23352
1866,Nicoya,
1869,Chinandega,32693
1869,León,64558
1869,Nueva Segovia,23256
1869,Granada,97809
1869,Chontales,21114
1869,Matagalpa,65875
1869,Rivas,24560
1869,Nicoya,
1875,Chinandega,35748
1875,León,69554
1875,Nueva Segovia,28586
1875,Granada,110143
1875,Chontales,28292
1875,Matagalpa,75756
1875,Rivas,25304
1875,Nicoya,
